start_date,mid_date,end_date,firm_coarse,firm_index,tpp_alp,tpp_lnc,tpp_alp_se,tpp_lnc_se,day_index
2004-07-16,2004-07-17,2004-07-18,Newspoll,7,0.51,0.49,0.012903061936162584,0.012903061936162584,7
2004-07-17,2004-07-21,2004-07-25,Morgan,6,0.53,0.47,0.014775563121469494,0.014775563121469494,11
2004-07-30,2004-07-31,2004-08-01,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,21
2004-07-31,2004-08-04,2004-08-08,Morgan,6,0.535,0.465,0.014765921159717886,0.014765921159717884,25
2004-08-13,2004-08-14,2004-08-15,Newspoll,7,0.54,0.46,0.012864278975168645,0.012864278975168645,35
2004-08-14,2004-08-18,2004-08-22,Morgan,6,0.555,0.445,0.014712405111138378,0.014712405111138378,39
2004-08-27,2004-08-28,2004-08-29,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,49
2004-08-28,2004-09-01,2004-09-05,Morgan,6,0.56,0.44,0.014695268634679624,0.014695268634679626,53
2004-09-03,2004-09-04,2004-09-05,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,56
2004-09-10,2004-09-11,2004-09-12,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,63
2004-09-11,2004-09-12,2004-09-12,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,64
2004-09-17,2004-09-18,2004-09-19,Newspoll,7,0.525,0.475,0.012889501173681202,0.012889501173681202,70
2004-09-18,2004-09-19,2004-09-19,Morgan,6,0.53,0.47,0.014775563121469494,0.014775563121469494,71
2004-09-24,2004-09-25,2004-09-26,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,77
2004-09-25,2004-09-26,2004-09-26,Morgan,6,0.5,0.5,0.014802231160433424,0.014802231160433424,78
2004-10-01,2004-10-02,2004-10-03,Newspoll,7,0.495,0.505,0.012904998024692672,0.012904998024692672,84
2004-10-02,2004-10-03,2004-10-03,Morgan,6,0.515,0.485,0.014795568657010517,0.014795568657010517,85
2004-10-06,2004-10-07,2004-10-07,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,89
2004-10-07,2004-10-08,2004-10-08,Morgan,6,0.51,0.49,0.01479927041809749,0.01479927041809749,90
2004-10-09,2004-10-09,2004-10-09,Newspoll,7,0.472,0.528,0.012885391384273744,0.012885391384273744,91
2006-11-24,2006-11-25,2006-11-26,Newspoll,7,0.51,0.49,0.012903061936162584,0.012903061936162584,868
2006-11-25,2006-11-29,2006-12-03,Morgan,6,0.525,0.475,0.014783716792761858,0.014783716792761858,872
2006-12-08,2006-12-09,2006-12-10,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,882
2006-12-09,2006-12-10,2006-12-10,Morgan,6,0.59,0.41,0.014560460548812132,0.014560460548812132,883
2006-12-16,2006-12-17,2006-12-17,Morgan,6,0.59,0.41,0.014560460548812132,0.014560460548812132,890
2007-01-06,2007-01-10,2007-01-14,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,914
2007-01-19,2007-01-20,2007-01-21,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,924
2007-01-20,2007-01-24,2007-01-28,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,928
2007-02-02,2007-02-03,2007-02-04,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,938
2007-02-03,2007-02-04,2007-02-04,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,939
2007-02-10,2007-02-14,2007-02-18,Morgan,6,0.57,0.43,0.014656451439529927,0.014656451439529927,949
2007-02-16,2007-02-17,2007-02-18,Newspoll,7,0.54,0.46,0.012864278975168645,0.012864278975168645,952
2007-02-24,2007-02-25,2007-02-25,Morgan,6,0.615,0.385,0.014405392650785777,0.014405392650785777,960
2007-03-02,2007-03-03,2007-03-04,Newspoll,7,0.57,0.43,0.012778542140655418,0.012778542140655418,966
2007-03-03,2007-03-04,2007-03-04,Morgan,6,0.615,0.385,0.014405392650785777,0.014405392650785777,967
2007-03-10,2007-03-11,2007-03-11,Morgan,6,0.61,0.39,0.014439574600253429,0.014439574600253429,974
2007-03-16,2007-03-17,2007-03-18,Newspoll,7,0.61,0.39,0.012589453407856683,0.012589453407856683,980
2007-03-17,2007-03-18,2007-03-18,Morgan,6,0.585,0.415,0.01458677080642452,0.014586770806424518,981
2007-03-24,2007-03-28,2007-04-01,Morgan,6,0.6,0.4,0.014503165359114884,0.014503165359114884,991
2007-03-30,2007-03-31,2007-04-01,Newspoll,7,0.57,0.43,0.012778542140655418,0.012778542140655418,994
2007-04-07,2007-04-11,2007-04-15,Morgan,6,0.595,0.405,0.014532595054511252,0.014532595054511252,1005
2007-04-13,2007-04-14,2007-04-15,Newspoll,7,0.59,0.41,0.01269485041983082,0.012694850419830822,1008
2007-04-21,2007-04-25,2007-04-29,Morgan,6,0.61,0.39,0.014439574600253429,0.014439574600253429,1019
2007-04-27,2007-04-28,2007-04-29,Newspoll,7,0.57,0.43,0.012778542140655418,0.012778542140655418,1022
2007-05-05,2007-05-06,2007-05-06,Morgan,6,0.6,0.4,0.014503165359114884,0.014503165359114884,1030
2007-05-11,2007-05-12,2007-05-13,Newspoll,7,0.59,0.41,0.01269485041983082,0.012694850419830822,1036
2007-05-12,2007-05-13,2007-05-13,Morgan,6,0.595,0.405,0.014532595054511252,0.014532595054511252,1037
2007-05-18,2007-05-19,2007-05-20,Newspoll,7,0.57,0.43,0.012778542140655418,0.012778542140655418,1043
2007-05-19,2007-05-20,2007-05-20,Morgan,6,0.6,0.4,0.014503165359114884,0.014503165359114884,1044
2007-05-21,2007-05-23,2007-05-24,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1047
2007-05-25,2007-05-26,2007-05-27,Newspoll,7,0.6,0.4,0.012644896377474535,0.012644896377474535,1050
2007-05-26,2007-05-27,2007-05-27,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,1051
2007-06-02,2007-06-03,2007-06-03,Morgan,6,0.58,0.42,0.014611534228661186,0.014611534228661186,1058
2007-06-09,2007-06-13,2007-06-17,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,1068
2007-06-15,2007-06-16,2007-06-17,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,1071
2007-06-23,2007-06-27,2007-07-01,Morgan,6,0.59,0.41,0.014560460548812132,0.014560460548812132,1082
2007-07-06,2007-07-07,2007-07-08,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,1092
2007-07-07,2007-07-11,2007-07-15,Morgan,6,0.55,0.45,0.0147280340457794,0.014728034045779402,1096
2007-07-20,2007-07-21,2007-07-22,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1106
2007-07-21,2007-07-25,2007-07-29,Morgan,6,0.55,0.45,0.0147280340457794,0.014728034045779402,1110
2007-08-03,2007-08-04,2007-08-05,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,1120
2007-08-04,2007-08-08,2007-08-12,Morgan,6,0.585,0.415,0.01458677080642452,0.014586770806424518,1124
2007-08-17,2007-08-18,2007-08-19,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1134
2007-08-18,2007-08-22,2007-08-26,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,1138
2007-08-31,2007-09-01,2007-09-02,Newspoll,7,0.59,0.41,0.01269485041983082,0.012694850419830822,1148
2007-09-01,2007-09-02,2007-09-02,Morgan,6,0.6,0.4,0.014503165359114884,0.014503165359114884,1149
2007-09-08,2007-09-09,2007-09-09,Morgan,6,0.59,0.41,0.014560460548812132,0.014560460548812132,1156
2007-09-14,2007-09-15,2007-09-16,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1162
2007-09-15,2007-09-16,2007-09-16,Morgan,6,0.565,0.435,0.014676619335769444,0.014676619335769444,1163
2007-09-22,2007-09-23,2007-09-23,Morgan,6,0.605,0.395,0.014472161920037712,0.014472161920037712,1170
2007-09-28,2007-09-29,2007-09-30,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,1176
2007-09-29,2007-09-30,2007-09-30,Morgan,6,0.61,0.39,0.014439574600253429,0.014439574600253429,1177
2007-10-06,2007-10-07,2007-10-07,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,1184
2007-10-12,2007-10-13,2007-10-14,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,1190
2007-10-13,2007-10-14,2007-10-14,Morgan,6,0.57,0.43,0.014656451439529927,0.014656451439529927,1191
2007-10-17,2007-10-18,2007-10-18,Morgan,6,0.555,0.445,0.014712405111138378,0.014712405111138378,1195
2007-10-19,2007-10-20,2007-10-21,Newspoll,7,0.58,0.42,0.012739380105131672,0.012739380105131672,1197
2007-10-20,2007-10-21,2007-10-21,Morgan,6,0.56,0.44,0.014695268634679624,0.014695268634679626,1198
2007-10-24,2007-10-25,2007-10-25,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,1202
2007-10-26,2007-10-27,2007-10-28,Newspoll,7,0.54,0.46,0.012864278975168645,0.012864278975168645,1204
2007-10-27,2007-10-28,2007-10-28,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,1205
2007-11-02,2007-11-03,2007-11-04,Newspoll,7,0.53,0.47,0.012882392220150371,0.012882392220150371,1211
2007-11-03,2007-11-04,2007-11-04,Morgan,6,0.62,0.38,0.014369604691879189,0.014369604691879189,1212
2007-11-07,2007-11-08,2007-11-08,Morgan,6,0.56,0.44,0.014695268634679624,0.014695268634679626,1216
2007-11-09,2007-11-10,2007-11-11,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1218
2007-11-10,2007-11-11,2007-11-11,Morgan,6,0.565,0.435,0.014676619335769444,0.014676619335769444,1219
2007-11-15,2007-11-16,2007-11-17,Morgan,6,0.555,0.445,0.014712405111138378,0.014712405111138378,1224
2007-11-16,2007-11-17,2007-11-18,Newspoll,7,0.54,0.46,0.012864278975168645,0.012864278975168645,1225
2007-11-17,2007-11-18,2007-11-18,Morgan,6,0.565,0.435,0.014676619335769444,0.014676619335769444,1226
2007-11-20,2007-11-21,2007-11-22,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,1229
2007-11-21,2007-11-22,2007-11-22,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,1230
2007-11-23,2007-11-23,2007-11-23,Morgan,6,0.535,0.465,0.014765921159717886,0.014765921159717884,1231
2007-11-24,2007-11-24,2007-11-24,Newspoll,7,0.527,0.473,0.012886813157814607,0.012886813157814607,1232
2009-08-21,2009-08-22,2009-08-23,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1869
2009-08-22,2009-08-26,2009-08-30,Morgan,6,0.61,0.39,0.014439574600253429,0.014439574600253429,1873
2009-09-04,2009-09-05,2009-09-06,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1883
2009-09-05,2009-09-09,2009-09-13,Morgan,6,0.62,0.38,0.014369604691879189,0.014369604691879189,1887
2009-09-18,2009-09-19,2009-09-20,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,1897
2009-09-19,2009-09-23,2009-09-27,Morgan,6,0.595,0.405,0.014532595054511252,0.014532595054511252,1901
2009-09-28,2009-09-30,2009-10-01,Newspoll,7,0.58,0.42,0.012739380105131672,0.012739380105131672,1908
2009-10-03,2009-10-07,2009-10-11,Morgan,6,0.6,0.4,0.014503165359114884,0.014503165359114884,1915
2009-10-07,2009-10-08,2009-10-08,Morgan,6,0.58,0.42,0.014611534228661186,0.014611534228661186,1916
2009-10-09,2009-10-10,2009-10-11,Newspoll,7,0.58,0.42,0.012739380105131672,0.012739380105131672,1918
2009-10-16,2009-10-17,2009-10-18,Newspoll,7,0.59,0.41,0.01269485041983082,0.012694850419830822,1925
2009-10-17,2009-10-21,2009-10-25,Morgan,6,0.605,0.395,0.014472161920037712,0.014472161920037712,1929
2009-10-30,2009-10-31,2009-11-01,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,1939
2009-10-31,2009-11-01,2009-11-01,Morgan,6,0.61,0.39,0.014439574600253429,0.014439574600253429,1940
2009-11-07,2009-11-08,2009-11-08,Morgan,6,0.56,0.44,0.014695268634679624,0.014695268634679626,1947
2009-11-11,2009-11-12,2009-11-12,Morgan,6,0.52,0.48,0.014790384634997942,0.014790384634997942,1951
2009-11-13,2009-11-14,2009-11-15,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,1953
2009-11-14,2009-11-15,2009-11-15,Morgan,6,0.565,0.435,0.014676619335769444,0.014676619335769444,1954
2009-11-21,2009-11-22,2009-11-22,Morgan,6,0.585,0.415,0.01458677080642452,0.014586770806424518,1961
2009-11-27,2009-11-28,2009-11-29,Newspoll,7,0.57,0.43,0.012778542140655418,0.012778542140655418,1967
2009-11-28,2009-11-29,2009-11-29,Morgan,6,0.585,0.415,0.01458677080642452,0.014586770806424518,1968
2009-12-02,2009-12-03,2009-12-03,Morgan,6,0.53,0.47,0.014775563121469494,0.014775563121469494,1972
2009-12-04,2009-12-05,2009-12-06,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,1974
2009-12-04,2009-12-07,2009-12-09,Morgan,6,0.53,0.47,0.014775563121469494,0.014775563121469494,1976
2009-12-05,2009-12-09,2009-12-13,Morgan,6,0.59,0.41,0.014560460548812132,0.014560460548812132,1978
2010-01-09,2010-01-13,2010-01-17,Morgan,6,0.585,0.415,0.01458677080642452,0.014586770806424518,2013
2010-01-13,2010-01-14,2010-01-14,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,2014
2010-01-15,2010-01-16,2010-01-17,Newspoll,7,0.54,0.46,0.012864278975168645,0.012864278975168645,2016
2010-01-18,2010-01-18,2010-01-18,Essential,2,0.56,0.44,0.01530426516757311,0.015304265167573113,2018
2010-01-25,2010-01-25,2010-01-25,Essential,2,0.56,0.44,0.01530426516757311,0.015304265167573113,2025
2010-01-23,2010-01-27,2010-01-31,Morgan,6,0.565,0.435,0.014676619335769444,0.014676619335769444,2027
2010-01-29,2010-01-30,2010-01-31,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,2030
2010-02-02,2010-02-02,2010-02-02,Essential,2,0.56,0.44,0.01530426516757311,0.015304265167573113,2033
2010-02-08,2010-02-08,2010-02-08,Essential,2,0.55,0.45,0.015338388432159927,0.015338388432159929,2039
2010-02-06,2010-02-10,2010-02-14,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,2041
2010-02-10,2010-02-11,2010-02-11,Morgan,6,0.535,0.465,0.014765921159717886,0.014765921159717884,2042
2010-02-12,2010-02-13,2010-02-14,Newspoll,7,0.53,0.47,0.012882392220150371,0.012882392220150371,2044
2010-02-15,2010-02-15,2010-02-15,Essential,2,0.55,0.45,0.015338388432159927,0.015338388432159929,2046
2010-02-20,2010-02-21,2010-02-21,Morgan,6,0.565,0.435,0.014676619335769444,0.014676619335769444,2052
2010-02-22,2010-02-22,2010-02-22,Essential,2,0.54,0.46,0.015366251104410675,0.015366251104410675,2053
2010-02-26,2010-02-27,2010-02-28,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,2058
2010-03-01,2010-03-01,2010-03-01,Essential,2,0.53,0.47,0.015387887192312854,0.015387887192312854,2060
2010-02-27,2010-03-03,2010-03-07,Morgan,6,0.555,0.445,0.014712405111138378,0.014712405111138378,2062
2010-03-12,2010-03-13,2010-03-14,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,2072
2010-03-15,2010-03-15,2010-03-15,Essential,2,0.56,0.44,0.01530426516757311,0.015304265167573113,2074
2010-03-13,2010-03-17,2010-03-21,Morgan,6,0.565,0.435,0.014676619335769444,0.014676619335769444,2076
2010-03-22,2010-03-22,2010-03-22,Essential,2,0.56,0.44,0.01530426516757311,0.015304265167573113,2081
2010-03-26,2010-03-27,2010-03-28,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,2086
2010-03-27,2010-03-31,2010-04-04,Morgan,6,0.58,0.42,0.014611534228661186,0.014611534228661186,2090
2010-04-06,2010-04-06,2010-04-06,Essential,2,0.54,0.46,0.015366251104410675,0.015366251104410675,2096
2010-04-12,2010-04-12,2010-04-12,Essential,2,0.54,0.46,0.015366251104410675,0.015366251104410675,2102
2010-04-10,2010-04-14,2010-04-18,Morgan,6,0.56,0.44,0.014695268634679624,0.014695268634679626,2104
2010-04-16,2010-04-17,2010-04-18,Newspoll,7,0.54,0.46,0.012864278975168645,0.012864278975168645,2107
2010-04-19,2010-04-19,2010-04-19,Essential,2,0.54,0.46,0.015366251104410675,0.015366251104410675,2109
2010-04-24,2010-04-25,2010-04-25,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,2115
2010-04-27,2010-04-27,2010-04-27,Essential,2,0.54,0.46,0.015366251104410675,0.015366251104410675,2117
2010-04-30,2010-05-01,2010-05-02,Newspoll,7,0.49,0.51,0.012903061936162584,0.012903061936162584,2121
2010-05-03,2010-05-03,2010-05-03,Essential,2,0.53,0.47,0.015387887192312854,0.015387887192312854,2123
2010-05-04,2010-05-05,2010-05-05,Morgan,6,0.5,0.5,0.014802231160433424,0.014802231160433424,2125
2010-05-08,2010-05-09,2010-05-09,Morgan,6,0.515,0.485,0.014795568657010517,0.014795568657010517,2129
2010-05-10,2010-05-10,2010-05-10,Essential,2,0.5,0.5,0.015415660399455185,0.015415660399455185,2130
2010-05-12,2010-05-13,2010-05-13,Morgan,6,0.48,0.52,0.014790384634997942,0.014790384634997942,2133
2010-05-14,2010-05-15,2010-05-16,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,2135
2010-05-15,2010-05-16,2010-05-16,Morgan,6,0.505,0.495,0.014801491030371688,0.014801491030371688,2136
2010-05-17,2010-05-17,2010-05-17,Essential,2,0.5,0.5,0.015415660399455185,0.015415660399455185,2137
2010-05-22,2010-05-23,2010-05-23,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,2143
2010-05-24,2010-05-24,2010-05-24,Essential,2,0.52,0.48,0.015403322934173933,0.015403322934173933,2144
2010-05-26,2010-05-27,2010-05-27,Morgan,6,0.5,0.5,0.014802231160433424,0.014802231160433424,2147
2010-05-28,2010-05-29,2010-05-30,Newspoll,7,0.51,0.49,0.012903061936162584,0.012903061936162584,2149
2010-05-29,2010-05-30,2010-05-30,Morgan,6,0.525,0.475,0.014783716792761858,0.014783716792761858,2150
2010-05-31,2010-05-31,2010-05-31,Essential,2,0.51,0.49,0.015412576959000408,0.015412576959000408,2151
2010-06-05,2010-06-06,2010-06-06,Morgan,6,0.52,0.48,0.014790384634997942,0.014790384634997942,2157
2010-06-07,2010-06-07,2010-06-07,Essential,2,0.52,0.48,0.015403322934173933,0.015403322934173933,2158
2010-06-12,2010-06-13,2010-06-13,Morgan,6,0.515,0.485,0.014795568657010517,0.014795568657010517,2164
2010-06-15,2010-06-15,2010-06-15,Essential,2,0.51,0.49,0.015412576959000408,0.015412576959000408,2166
2010-06-18,2010-06-19,2010-06-20,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,2170
2010-06-19,2010-06-20,2010-06-20,Morgan,6,0.53,0.47,0.014775563121469494,0.014775563121469494,2171
2010-06-21,2010-06-21,2010-06-21,Essential,2,0.52,0.48,0.015403322934173933,0.015403322934173933,2172
2010-06-25,2010-06-26,2010-06-27,Newspoll,7,0.53,0.47,0.012882392220150371,0.012882392220150371,2177
2010-06-25,2010-06-27,2010-06-28,Morgan,6,0.485,0.515,0.014795568657010517,0.014795568657010517,2178
2010-06-28,2010-06-28,2010-06-28,Essential,2,0.54,0.46,0.015366251104410675,0.015366251104410675,2179
2010-06-26,2010-06-30,2010-07-04,Morgan,6,0.55,0.45,0.0147280340457794,0.014728034045779402,2181
2010-07-05,2010-07-05,2010-07-05,Essential,2,0.54,0.46,0.015366251104410675,0.015366251104410675,2186
2010-07-10,2010-07-11,2010-07-11,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,2192
2010-07-12,2010-07-12,2010-07-12,Essential,2,0.55,0.45,0.015338388432159927,0.015338388432159929,2193
2010-07-16,2010-07-17,2010-07-18,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,2198
2010-07-17,2010-07-18,2010-07-18,Morgan,6,0.56,0.44,0.014695268634679624,0.014695268634679626,2199
2010-07-19,2010-07-19,2010-07-19,Essential,2,0.55,0.45,0.015338388432159927,0.015338388432159929,2200
2010-07-20,2010-07-21,2010-07-21,Morgan,6,0.555,0.445,0.014712405111138378,0.014712405111138378,2202
2010-07-23,2010-07-24,2010-07-25,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,2205
2010-07-24,2010-07-25,2010-07-25,Morgan,6,0.555,0.445,0.014712405111138378,0.014712405111138378,2206
2010-07-26,2010-07-26,2010-07-26,Essential,2,0.55,0.45,0.015338388432159927,0.015338388432159929,2207
2010-07-27,2010-07-28,2010-07-28,Morgan,6,0.53,0.47,0.014775563121469494,0.014775563121469494,2209
2010-07-30,2010-07-31,2010-08-01,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,2212
2010-07-31,2010-08-01,2010-08-01,Morgan,6,0.53,0.47,0.014775563121469494,0.014775563121469494,2213
2010-08-02,2010-08-02,2010-08-02,Essential,2,0.54,0.46,0.015366251104410675,0.015366251104410675,2214
2010-08-03,2010-08-03,2010-08-03,Morgan,6,0.5,0.5,0.014802231160433424,0.014802231160433424,2215
2010-08-06,2010-08-07,2010-08-08,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,2219
2010-08-07,2010-08-08,2010-08-08,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,2220
2010-08-09,2010-08-09,2010-08-09,Essential,2,0.52,0.48,0.015403322934173933,0.015403322934173933,2221
2010-08-14,2010-08-14,2010-08-14,Morgan,6,0.51,0.49,0.01479927041809749,0.01479927041809749,2226
2010-08-13,2010-08-14,2010-08-15,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,2226
2010-08-14,2010-08-15,2010-08-15,Morgan,6,0.52,0.48,0.014790384634997942,0.014790384634997942,2227
2010-08-16,2010-08-16,2010-08-16,Essential,2,0.51,0.49,0.015412576959000408,0.015412576959000408,2228
2010-08-17,2010-08-17,2010-08-17,Essential,2,0.51,0.49,0.015412576959000408,0.015412576959000408,2229
2010-08-17,2010-08-18,2010-08-19,Newspoll,7,0.502,0.498,0.012905540077432115,0.012905540077432115,2230
2010-08-18,2010-08-19,2010-08-20,Morgan,6,0.51,0.49,0.01479927041809749,0.01479927041809749,2231
2010-08-18,2010-08-19,2010-08-19,Morgan,6,0.51,0.49,0.01479927041809749,0.01479927041809749,2231
2010-08-20,2010-08-20,2010-08-20,Essential,2,0.51,0.49,0.015412576959000408,0.015412576959000408,2232
2010-08-21,2010-08-21,2010-08-21,Morgan,6,0.5125,0.4875,0.014797604740204643,0.014797604740204641,2233
2010-08-21,2010-08-21,2010-08-21,Newspoll,7,0.501,0.499,0.012905617511679226,0.012905617511679226,2233
2012-09-08,2012-09-12,2012-09-16,Morgan,6,0.465,0.535,0.014765921159717884,0.014765921159717886,2986
2012-09-14,2012-09-15,2012-09-16,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,2989
2012-09-17,2012-09-19,2012-09-20,Morgan,6,0.495,0.505,0.014801491030371688,0.014801491030371688,2993
2012-09-22,2012-09-23,2012-09-23,Morgan,6,0.48,0.52,0.014790384634997942,0.014790384634997942,2997
